mpc_meeting,minutes_publication
199801,19980211
199802,19980311
199803,19980415
199804,19980513
199805,19980610
199806,19980715
199807,19980812
199808,19980916
199809,19981014
199810,19981021
199811,19981118
199812,19981223
199901,19990120
199902,19990217
199903,19990317
199904,19990421
199905,19990519
199906,19990623
199907,19990721
199908,19990818
199909,19990922
199910,19991020
199911,19991117
199912,19991222
200002,20000223
200003,20000322
200004,20000419
200006,20000621
200007,20000719
200008,20000816
200009,20000920
200010,20001018
200011,20001122
200012,20001220
200102,20010221
200103,20010321
200104,20010418
200105,20010523
200106,20010620
200107,20010718
200108,20010815
200109,20010919
200110,20011017
200111,20011121
200112,20011219
200201,20020123
200202,20020220
200203,20020320
200204,20020417
200205,20020522
200206,20020619
200207,20020717
200208,20020814
200209,20020918
200210,20021023
200211,20021120
200212,20021218
200301,20030122
200302,20030219
200303,20030319
200304,20030423
200305,20030521
200306,20030618
200307,20030723
200308,20030820
200309,20030917
200310,20031022
200311,20031119
200312,20031217
200401,20040121
200402,20040218
200403,20040317
200404,20040421
200405,20040519
200406,20040623
200407,20040721
200408,20040818
200409,20040922
200410,20041020
200411,20041117
200412,20041222
200501,20050126
200502,20050223
200503,20050323
200504,20050420
200505,20050518
200506,20050622
200507,20050720
200508,20050817
200509,20050921
200510,20051019
200511,20051123
200512,20051221
200601,20060125
200602,20060222
200603,20060322
200604,20060419
200605,20060517
200606,20060621
200607,20060719
200608,20060816
200609,20060920
200610,20061018
200611,20061122
200612,20061220
200701,20070124
200702,20070221
200703,20070321
200704,20070418
200705,20070523
200706,20070620
200707,20070718
200708,20070815
200709,20070919
200710,20071017
200711,20071121
200712,20071219
200801,20080123
200802,20080220
200803,20080319
200804,20080423
200805,20080521
200806,20080618
200807,20080723
200808,20080820
200809,20080917
200810,20081022
200811,20081119
200812,20081217
200901,20090121
200902,20090218
200903,20090318
200904,20090422
200905,20090520
200906,20090617
200907,20090722
200908,20090819
200909,20090923
200910,20091021
200911,20091118
200912,20091223
201001,20100120
201002,20100217
201003,20100317
201004,20100421
201005,20100519
201006,20100623
201007,20100721
201008,20100818
201009,20100922
201010,20101020
201011,20101117
201012,20101222
201101,20110126
201102,20110223
201103,20110323
201104,20110420
201105,20110518
201106,20110622
201107,20110720
201108,20110817
201109,20110921
201110,20111019
201111,20111123
201112,20111221
201201,20120125
201202,20120222
201203,20120321
201204,20120418
201205,20120523
201206,20120620
201207,20120718
201208,20120815
201209,20120919
201210,20121017
201211,20121121
201212,20121219
201301,20130123
201302,20130220
201303,20130320
201304,20130417
201305,20130522
201306,20130619
201307,20130717
201308,20130814
201309,20130918
201310,20131023
201311,20131120
201312,20131218
201401,20140122
201402,20140219
201403,20140319
201404,20140423
201405,20140521
201406,20140618
201407,20140723
201408,20140820
201409,20140917
201410,20141022
